id;nome;cartao_sus;cpf;data_nascimento;cep;estado;cidade;endereco;telefone;profissao;tipo_doadora;local_pre_natal;resultado_vdrl;resultado_h_bs_ag;resultado_ft_aabs;resultado_hiv;transfusao_ultimos_5_anos;data_registro
1;independence parsnip cinder;mid indeed;where limply;2025-07-12;drat valiantly;tight digestive;willfully unto willfully;furthermore oil;always elliptical debut;oil desk simple;EVENTUAL;REDE_PRIVADA;NAO_INFORMADO;POSITIVO;NAO_INFORMADO;NEGATIVO;false;2025-07-12
2;yowza;passionate the failing;whenever;2025-07-12;underneath distorted;patroller among joyously;ew;miskey;fooey muffled extract;nor decide zen;EVENTUAL;NAO_REALIZADO;POSITIVO;POSITIVO;POSITIVO;NAO_INFORMADO;true;2025-07-12
3;faithfully;drat;slowly;2025-07-12;gah patiently of;submissive per;beard;fall;gadzooks;gah battle;EVENTUAL;REDE_PUBLICA;NAO_INFORMADO;NAO_INFORMADO;NEGATIVO;NEGATIVO;true;2025-07-11
4;drat crumble consign;task down;lotion tangible;2025-07-12;whenever;blah save;duh lest by;overheard;gosh black-and-white;times instead flickering;EXCLUSIVA;NAO_REALIZADO;NAO_INFORMADO;POSITIVO;POSITIVO;NAO_INFORMADO;true;2025-07-12
5;gee by colour;slowly;ah known;2025-07-12;warped;frenetically even;crazy;serenade hygienic limited;fairly;hourly whose hungrily;DOMICILIAR;REDE_PUBLICA;POSITIVO;NAO_INFORMADO;NEGATIVO;POSITIVO;false;2025-07-12
6;however strange wobbly;pish till irresponsible;past yahoo uselessly;2025-07-12;oof carpool brightly;drat yum fax;until whitewash;fruitful beyond;er hm;silver innocently guilt;EVENTUAL;REDE_PRIVADA;POSITIVO;NAO_INFORMADO;NAO_INFORMADO;NEGATIVO;true;2025-07-12
7;famously;faint from;marimba besides sharply;2025-07-12;concerning;avalanche yuck;gee;insert cash;private advancement essay;fluffy thyme;EXCLUSIVA;REDE_PRIVADA;NEGATIVO;POSITIVO;NAO_INFORMADO;NEGATIVO;false;2025-07-12
8;garage;pocket-watch ack severe;redact;2025-07-12;portly onto taut;ravel qua;chilly;huzzah;save though;singe while forenenst;EVENTUAL;NAO_REALIZADO;NEGATIVO;POSITIVO;NAO_INFORMADO;NEGATIVO;false;2025-07-12
9;ham;hubris whether;aboard whenever;2025-07-12;excepting;representation brr beneath;shudder convince;intervention upon;inventory;only;DOMICILIAR;REDE_PUBLICA;NEGATIVO;NEGATIVO;NAO_INFORMADO;NAO_INFORMADO;true;2025-07-12
10;log orderly about;yawn oh;gee less;2025-07-11;hence;kettledrum;when ouch righteously;pish mid;zowie quarrelsome mortar;wherever;EXCLUSIVA;REDE_PRIVADA;NAO_INFORMADO;NAO_INFORMADO;NAO_INFORMADO;NAO_INFORMADO;false;2025-07-12
